atletas.apelido,atletas.rodada_id,atletas.pontos_num,atletas.preco_num,atletas.clube.id.full.name
Paulo Victor,9,6.8,6.63,Grêmio
Marcelo Lomba,9,-2.0,9.95,Internacional
Nino Paraíba,9,4.5,12.31,Bahia
Ramon,9,0.0,5.0,Vasco
Digão,9,0.0,7.0,Fluminense
Rodrigo Pimpão,9,0.0,1.04,Botafogo
Wellington Silva,9,0.2,4.55,Internacional
Rafael,9,0.0,4.02,Cruzeiro
Diego Souza,9,-0.8,4.58,Botafogo
Dudu,9,2.6,17.39,Palmeiras
Uribe,9,0.0,5.26,Santos
Gil,9,0.0,11.0,Corinthians
Gum,9,3.5,7.04,Chapecoense
Leonardo Silva,9,0.0,4.88,Atlético-MG
Marinho,9,2.7,6.2,Santos
Giovanni Augusto,9,6.2,4.67,Goiás
Kieza,9,0.0,4.06,Fortaleza
Santos,9,-1.3,5.25,Athlético-PR
João Carlos,9,0.0,0.69,CSA
Neto,9,0.0,2.0,Chapecoense
Ernandes,9,2.6,2.32,Chapecoense
Ronaldo Alves,9,0.0,6.0,CSA
Manoel,9,-0.1,10.08,Corinthians
Marcelo Cirino,9,4.2,7.64,Athlético-PR
Vladimir,9,2.0,5.45,Avaí
Muriel,9,0.0,4.0,Fluminense
Pablo,9,0.0,17.0,São Paulo
Danilo Fernandes,9,0.0,7.0,Internacional
Paulo Roberto,9,0.0,4.06,Fortaleza
Léo,9,0.0,4.0,Avaí
Gamarra,9,0.0,8.0,CSA
Nikão,9,1.3,16.48,Athlético-PR
Ricardo Bueno,9,0.0,17.39,CSA
Boselli,9,0.0,3.06,Corinthians
Romulo,9,0.9,5.03,Grêmio
Fellipe Bastos,9,0.0,4.34,Vasco
Sidão,9,0.0,4.29,Vasco
Eduardo Sasha,9,9.7,18.02,Santos
Alan Santos,9,0.0,3.28,Botafogo
Fábio Carille,9,1.22,10.37,Corinthians
Jorge Sampaoli,9,6.12,12.18,Santos
Victor Ferraz,9,5.1,9.85,Santos
Marllon,9,0.0,5.51,Bahia
Joao Rojas,9,0.0,7.0,São Paulo
Diogo Barbosa,9,16.7,15.57,Palmeiras
Jackson,9,-0.1,4.48,Bahia
Marquinhos Gabriel,9,0.0,3.43,Cruzeiro
Leo,9,0.0,3.0,Athlético-PR
Wescley,9,0.0,5.0,Ceará
Augusto,9,0.0,4.0,Chapecoense
Vinícius,9,0.0,3.32,Atlético-MG
Bruno Henrique,9,8.3,12.52,Palmeiras
Léo Cittadini,9,0.0,5.82,Athlético-PR
Bryan Ruíz,9,0.0,4.0,Santos
Felipe Baxola,9,1.5,4.58,Ceará
Jorge Jesus,9,0.0,12.52,Flamengo
Lucho González,9,1.5,5.75,Athlético-PR
Fernando Miguel,9,5.2,7.04,Vasco
Kelvin,9,0.0,3.72,Fluminense
Fábio Sanches,9,0.0,3.0,Goiás
Weverton,9,8.5,15.48,Palmeiras
Raúl Cáceres,9,0.0,3.12,Vasco
Geovane,9,2.4,4.3,Goiás
Gustavo Gómez,9,0.0,15.32,Palmeiras
Diogo Silva,9,13.0,11.39,Ceará
Manga Escobar,9,0.0,4.0,CSA
Elton,9,3.6,5.11,Bahia
Cuéllar,9,0.0,13.77,Flamengo
Thiago Galhardo,9,0.4,9.79,Ceará
Juninho,9,5.4,6.04,Fortaleza
Tiago Volpi,9,10.2,10.44,São Paulo
Juninho Quixadá,9,0.0,5.0,Ceará
Júnior Urso,9,1.7,6.7,Corinthians
Michel,9,5.7,5.27,Grêmio
Agenor,9,4.0,2.7,Fluminense
João Paulo,9,1.3,7.75,Botafogo
Vitinho,9,12.2,10.51,Flamengo
Bruno Cortez,9,0.0,5.59,Grêmio
Danilo Avelar,9,-2.8,6.22,Corinthians
Éverson,9,3.8,7.36,Santos
Rodrigo Lindoso,9,11.9,10.56,Internacional
Jailson,9,0.0,8.0,Palmeiras
Renê Júnior,9,0.0,7.0,Corinthians
Gustavo Campanharo,9,1.8,3.79,Chapecoense
Felipe Alves,9,0.7,7.08,Fortaleza
Luiz Otávio,9,1.2,10.05,Ceará
Benítez,9,0.0,6.0,CSA
Celsinho,9,2.6,3.86,CSA
Fernando Diniz,9,0.62,5.9,Fluminense
Argel Fucks,9,0.0,5.21,CSA
Éderson,9,0.0,6.0,Fortaleza
Rafael Vaz,9,-7.0,9.44,Goiás
Julinho,9,4.3,2.43,Avaí
Amaral,9,0.0,4.0,CSA
Bruno Alves,9,1.0,6.51,São Paulo
Glédson,9,0.0,3.0,Avaí
Marco Ruben,9,1.4,14.97,Athlético-PR
Maranhão,9,0.0,3.09,CSA
Rogério,9,4.3,9.4,Bahia
Marcos Vinícius,9,0.0,5.0,Chapecoense
Gilberto,9,1.0,2.47,Goiás
Jean Cléber,9,0.0,3.0,CSA
Bruno Peres,9,0.0,5.0,São Paulo
Geuvânio,9,4.0,12.5,Atlético-MG
Rodrigo Caio,9,5.3,9.36,Flamengo
Alison,9,2.1,4.7,Santos
Rodinei,9,6.4,3.91,Flamengo
Matheus Barbosa,9,1.3,3.8,Avaí
Gatito Fernández,9,0.0,7.8,Botafogo
Paolo Guerrero,9,0.0,14.5,Internacional
Claudio Winck,9,0.0,4.01,Vasco
Élber,9,0.0,5.51,Bahia
Guerra,9,0.0,5.0,Bahia
Auremir,9,0.0,4.23,Ceará
Eduardo Barroca,9,1.53,7.59,Botafogo
Yago,9,-0.6,2.97,Goiás
Derlis González,9,0.0,0.74,Santos
William Pottker,9,0.0,7.2,Internacional
Madson,9,0.2,3.78,Athlético-PR
Copete,9,0.0,4.56,Santos
César,9,8.0,6.1,Flamengo
Vagner,9,0.0,4.0,Chapecoense
Gustavo Henrique,9,2.0,5.94,Santos
João Lucas,9,4.1,10.13,Ceará
Cassiano,9,-0.8,3.12,CSA
Luciano Castán,9,0.0,4.56,CSA
Alex Amado,9,0.0,2.0,Ceará
Renê,9,5.0,7.82,Flamengo
Willian Arão,9,1.8,13.23,Flamengo
Marcos,9,0.0,3.0,Goiás
Paulinho,9,0.0,2.31,Avaí
Jean Mota,9,0.0,11.55,Santos
Douglas Friedrich,9,9.0,12.41,Bahia
Gabriel,9,0.0,7.0,Corinthians
Eduardo Brock,9,0.0,4.0,Ceará
Claudinei Oliveira,9,4.42,8.69,Goiás
Ramiro,9,1.8,10.95,Corinthians
Richard,9,0.0,4.73,Ceará
Thiago Santos,9,-0.3,4.65,Palmeiras
Naldo,9,0.0,3.23,CSA
Rodrigo Dourado,9,0.0,7.12,Internacional
Luiz Felipe,9,7.0,6.77,Santos
Pedro Castro,9,-0.9,3.5,Avaí
Reinaldo,9,0.5,11.49,São Paulo
Moisés Ribeiro,9,0.0,3.0,Chapecoense
Romário Rodrigues,9,1.0,1.76,Ceará
Romero,9,0.0,4.0,Fortaleza
Víctor Cuesta,9,3.0,13.35,Internacional
Roger Machado ,9,4.13,10.86,Bahia
Antônio Carlos ,9,6.5,8.16,Palmeiras
Samuel Xavier,9,-0.5,12.49,Ceará
Sassá,9,9.2,7.37,Cruzeiro
Edinho,9,0.0,8.44,Fortaleza
Yago Pikachu,9,0.4,9.25,Vasco
Brenner,9,0.0,4.52,Avaí
Lucas Fonseca,9,-0.6,4.86,Bahia
Fabiano,9,0.0,4.0,Palmeiras
Jadson,9,2.7,3.67,Cruzeiro
Patrick Fabiano,9,-1.1,4.95,CSA
Luciano,9,0.0,6.83,Fluminense
Alexandre Cajuru,9,0.0,3.0,CSA
Gilberto ,9,0.0,6.14,Fluminense
Ezequiel ,9,0.0,4.11,Bahia
Arthur Caíke,9,7.5,11.43,Bahia
Ariel Cabral,9,0.5,2.68,Cruzeiro
Fabinho,9,3.2,6.52,Ceará
Lucas Lima,9,1.4,5.08,Palmeiras
Matheus Inácio,9,0.0,2.0,Fortaleza
Renatinho,9,2.5,2.66,Goiás
Michel,9,0.0,3.17,Corinthians
Pedro Geromel,9,0.0,14.75,Grêmio
Joílson,9,0.0,2.0,Chapecoense
Luan,9,0.0,10.57,Palmeiras
Marlone,9,3.5,6.39,Goiás
Jair,9,0.0,6.73,Atlético-MG
Mayke,9,0.0,10.0,Palmeiras
Oswaldo Henríquez,9,10.4,4.39,Vasco
Carlos Sánchez,9,-0.4,11.11,Santos
Cazares,9,7.1,11.17,Atlético-MG
Bruno Nazário,9,6.2,3.3,Athlético-PR
Clayton,9,0.0,5.0,Bahia
Rossi,9,3.5,5.06,Vasco
Igor Julião,9,-4.1,2.38,Fluminense
Alisson,9,2.5,6.86,Grêmio
Tadeu,9,6.4,13.55,Goiás
João Ricardo,9,0.0,6.0,Chapecoense
Cueva,9,0.0,6.83,Santos
Gegê,9,-0.3,3.23,Avaí
Zé Rafael,9,6.8,10.48,Palmeiras
Chico,9,0.0,4.27,Ceará
Alan Costa,9,0.0,3.0,CSA
Tinga,9,-0.8,0.75,Fortaleza
Matheus Galdezani,9,0.0,5.0,Internacional
Erik,9,-0.1,9.55,Botafogo
Léo Artur,9,0.0,1.99,Fluminense
Marcelo Hermes,9,0.0,3.14,Goiás
Marcelo Rangel,9,0.0,4.0,Goiás
Victor Rangel,9,0.0,3.0,Botafogo
Vinícius Araújo,9,0.0,2.0,Vasco
Régis,9,0.0,3.81,Corinthians
Daniel Amorim,9,0.4,5.83,Avaí
Otero,9,0.0,8.0,Atlético-MG
Cristovam,9,0.0,3.0,Ceará
Matheus Ribeiro,9,0.0,3.0,Santos
Gabriel,9,14.3,18.25,Flamengo
Yuri,9,0.0,1.0,Bahia
Léo Pereira,9,1.1,8.84,Athlético-PR
Patrick,9,5.0,8.92,Internacional
Rafinha,9,0.0,4.0,CSA
Guilherme Parede,9,0.0,4.73,Internacional
Charles,9,0.0,4.0,Ceará
Neilton,9,0.0,6.84,Internacional
Clayson,9,0.0,9.63,Corinthians
Max Walef,9,0.0,1.0,Fortaleza
Diego Tavares,9,0.0,3.0,Fortaleza
Rafinha,9,0.0,3.07,Goiás
Bruno Melo,9,0.0,3.09,Fortaleza
Fernando Sobral,9,2.2,5.64,Ceará
Romarinho,9,1.4,4.09,Fortaleza
Danilo Barcelos,9,13.4,6.26,Vasco
Valdo,9,-0.3,2.7,Ceará
Nico López,9,6.1,15.29,Internacional
Lucas Romero,9,-2.4,3.2,Cruzeiro
Ricardinho,9,4.2,5.89,Ceará
Igor Fernandes,9,2.0,3.59,Avaí
Lucas Cândido,9,0.0,2.0,Atlético-MG
Alex Silva,9,0.0,4.35,Avaí
Euller ,9,0.0,4.0,CSA
Alberto Valentim,9,0.0,7.0,Avaí
Abner,9,0.9,3.2,Athlético-PR
Henrique,9,0.0,3.57,Vasco
Lucas Frigeri,9,0.0,5.0,Avaí
Marcos Felipe ,9,0.0,2.0,Fluminense
Berrío ,9,0.0,6.04,Flamengo
Uilson,9,0.0,3.0,Atlético-MG
Alex Santana,9,4.1,9.94,Botafogo
João Paulo,9,0.0,2.0,Santos
Aylon,9,1.7,2.77,Chapecoense
Mosquera,9,0.0,2.69,Avaí
Natanael,9,0.0,6.0,Internacional
Valdívia,9,2.2,3.91,Vasco
Léo,9,0.0,5.0,São Paulo
Luanderson ,9,0.0,2.47,Avaí
Wanderson,9,0.0,3.0,Bahia
Hyoran,9,0.0,4.32,Palmeiras
Everton Felipe,9,1.6,2.6,São Paulo
Victor Luis,9,0.0,7.0,Palmeiras
Borja,9,0.0,7.0,Palmeiras
Pablo Dyego,9,0.0,2.17,Fluminense
Pedro Rocha,9,3.3,10.97,Cruzeiro
Luan,9,0.0,10.15,Grêmio
Everton,9,0.0,17.31,Grêmio
Raniel,9,0.0,5.94,São Paulo
João Paulo,9,1.5,4.58,Avaí
Tchê Tchê,9,0.0,3.74,São Paulo
Gustavo,9,0.0,3.61,Corinthians
Matheus Rossetto,9,0.0,3.6,Athlético-PR
Ewandro,9,-2.5,2.46,Fluminense
Richard,9,0.0,3.78,Vasco
José Welison,9,0.0,4.6,Atlético-MG
Emerson Santos,9,0.0,5.81,Internacional
Kannemann,9,0.0,14.7,Grêmio
Jordi,9,14.0,10.74,CSA
Nathan,9,0.0,5.07,Atlético-MG
Soteldo,9,2.3,6.01,Santos
Zeca,9,3.0,6.75,Internacional
Leonardo,9,5.2,6.36,Grêmio
Gabriel,9,2.5,8.63,Botafogo
Pedro Henrique,9,0.0,8.82,Athlético-PR
Tréllez,9,0.0,6.0,Internacional
Caíque Sá,9,0.0,3.03,Chapecoense
Yago Felipe,9,5.9,4.34,Goiás
Vitor Bueno,9,0.0,5.39,São Paulo
Thaciano,9,4.4,4.24,Grêmio
Jorge,9,10.0,14.9,Santos
Gustavo Scarpa,9,-0.3,2.49,Palmeiras
Yuri,9,-0.8,1.98,Botafogo
Daniel Guedes ,9,0.3,3.78,Goiás
Sornoza,9,0.0,3.83,Corinthians
Arrascaeta,9,0.0,13.35,Flamengo
Paulo Ricardo,9,0.0,3.0,Goiás
Gabriel Dias,9,0.7,4.04,Fortaleza
Leandro Carvalho,9,2.0,10.1,Ceará
Ángel Romero,9,0.0,6.0,Corinthians
Marlon,9,0.0,4.23,Fortaleza
Bruno Sávio,9,0.0,2.0,Avaí
Jean,9,0.0,4.1,Botafogo
Iago Maidana,9,0.0,3.19,Atlético-MG
Caju,9,0.0,3.0,Santos
Gustavo Ferrareis,9,0.0,3.07,Avaí
Saulo,9,0.0,3.0,Botafogo
Dodi,9,0.0,3.0,Fluminense
Igor Rabello,9,2.1,8.92,Atlético-MG
Bruno Pacheco,9,0.0,12.2,Chapecoense
Bruno Ramires,9,0.0,3.81,CSA
Bruno Henrique,9,2.5,18.07,Flamengo
Vinícius Tanque,9,0.0,2.0,Botafogo
Crysan,9,0.0,3.0,Athlético-PR
David,9,0.0,4.8,Cruzeiro
Kunde,9,-2.5,0.75,Avaí
Moisés,9,4.4,13.18,Bahia
Yuri Lima,9,-1.1,1.84,Fluminense
Léo Sena,9,0.0,6.58,Goiás
Luiz Fernando ,9,0.2,3.64,Botafogo
Getúlio,9,-1.3,6.02,Avaí
Fabrício Bruno,9,0.0,5.0,Cruzeiro
Lucas Mineiro,9,-0.3,6.02,Vasco
Klaus,9,0.0,4.0,Internacional
Elias,9,0.0,2.0,Chapecoense
Iago,9,0.0,2.0,Bahia
Marcinho,9,0.0,6.08,Botafogo
Jean,9,-2.0,3.32,São Paulo
Flávio,9,1.9,2.52,Bahia
Fernandinho,9,0.0,2.0,Bahia
Everaldo ,9,3.5,3.34,Corinthians
Gustavo Blanco,9,0.0,9.0,Atlético-MG
Pepê,9,1.5,3.49,Grêmio
Rony,9,5.0,13.76,Athlético-PR
Lucas Perri,9,0.0,2.0,São Paulo
Leandro Barcia,9,12.8,10.68,Goiás
Nino,9,0.3,2.22,Fluminense
Leonardo Valencia,9,0.0,3.74,Botafogo
Rodriguez,9,7.2,5.3,Grêmio
Marlon,9,0.0,4.0,Fluminense
Felipe,9,3.4,5.83,Fortaleza
Matheus Alves,9,0.0,1.0,Goiás
André Luís,9,15.7,6.64,Fortaleza
David Duarte,9,0.0,8.03,Goiás
João Paulo,9,0.0,3.0,Ceará
Caíque França,9,0.0,3.0,Corinthians
Arboleda,9,0.0,6.53,São Paulo
Kevin ,9,0.0,7.49,Goiás
Everson,9,0.0,3.0,Bahia
Arthur Cabral,9,0.0,8.0,Palmeiras
Giovanny ,9,0.0,2.0,Goiás
Ramón Martínez,9,0.0,5.0,Atlético-MG
Juninho,9,0.0,4.0,Bahia
Raul,9,5.1,6.09,Vasco
Odair Hellmann,9,5.71,10.71,Internacional
Renato Kayzer,9,0.8,1.74,Chapecoense
Mateus Vital,9,0.0,6.56,Corinthians
Ronaldo,9,0.0,3.93,Flamengo
Deyverson,9,8.4,10.57,Palmeiras
