ID;Data_Confronto;Rodada;Time_Casa;Time_Visitante;Gol_1;Gol_2;Razao_Vitoria_Time_Casa;Razao_Vitoria_Time_Visitante;Razao_Derrota_Time_Casa;Razao_Derrota_Time_Visitante;Razao_Empate_Time_Casa;Razao_Empate_Time_Visitante;Media_Gols_Time_Casa;Media_Gols_Time_Visitante;Media_Gols_Sofrido_Time_Casa;Media_Gols_Sofrido_Time_Visitante;Exp_Gols_Mandante_Final;Exp_Gols_Visitante_Final;Forma_Mandante;Forma_Visitante;Elo_Mandante;Elo_Visitante;Exp_Vitoria;Tipo_Vencedor;Vencedor
438;2014-05-22;6;palmeiras;figueirense;1;0;0.6;0.2;0.4;0.8;0.0;0.0;1.4;0.2;1.2;1.6;0;0;15;9;994.74;1000.725;E;M;palmeiras
439;2014-05-24;7;bahia;fluminense;0;1;0.3256;0.3636;0.3488;0.4091;0.3256;0.3182;1.0;1.25;1.1395;1.1818;0;0;8;14;1004.83;1004.56;E;V;fluminense
440;2014-05-24;7;são paulo;grêmio;1;0;0.3636;0.5;0.3864;0.2273;0.25;0.25;1.1364;1.1136;1.1136;0.8864;1;0;7;18;997.9125;1001.5125;M;M;são paulo
441;2014-05-25;7;atlético-mg;criciúma;0;0;0.4091;0.3409;0.2955;0.4773;0.2955;0.2955;1.2955;1.1818;1.0227;1.6364;2;0;18;9;997.425;1001.395;M;E;empate
442;2014-05-25;7;santos;flamengo;0;0;0.3636;0.2955;0.2727;0.3636;0.3636;0.3636;1.2955;1.0909;0.9773;1.25;1;0;6;3;999.295;994.5275;M;E;empate
443;2014-05-25;7;botafogo-rj;vitória;1;1;0.4091;0.3864;0.3409;0.3182;0.25;0.25;1.4545;1.5;1.1591;1.4091;2;1;3;1;993.1475;1000.52;M;E;empate
444;2014-05-25;7;athlético-pr;coritiba;2;0;0.4318;0.2727;0.2727;0.3636;0.2955;0.2955;1.6591;1.0682;1.3182;1.1818;1;0;5;5;1000.5825;1000.3975;M;M;athlético-pr
445;2014-05-25;7;chapecoense;palmeiras;2;0;0.0;0.6667;0.6667;0.3333;0.3333;0.3333;0.5;1.3333;1.1667;1.0;0;1;2;18;1001.02;993.24;V;M;chapecoense
446;2014-05-25;7;sport;corinthians;1;4;0.4;0.2955;0.4;0.25;0.2;0.0227;1.0;0.7273;1.2;0.5682;1;0;6;4;1004.84;1004.6675;M;V;corinthians
447;2014-05-25;7;internacional;cruzeiro;1;3;0.3182;0.6136;0.2727;0.2045;0.4091;0.4091;1.3409;2.0227;1.2955;1.0227;1;1;8;15;993.22;995.145;E;V;cruzeiro
448;2014-05-25;7;figueirense;goiás;0;1;0.1667;0.4318;0.8333;0.2727;0.0;0.0;0.1667;1.2273;1.5;1.0909;0;2;6;9;1000.725;1004.145;V;V;goiás
449;2014-05-28;8;sport;grêmio;0;0;0.3333;0.4889;0.5;0.2444;0.1667;0.0222;1.0;1.0889;1.6667;0.8889;1;2;3;9;1005.34;1001.0125;V;E;empate
450;2014-05-28;8;athlético-pr;são paulo;2;2;0.4444;0.3778;0.2667;0.3778;0.2889;0.2889;1.6667;1.1333;1.2889;1.0889;1;0;12;14;1000.0825;998.4125;M;E;empate
451;2014-05-28;8;goiás;vitória;0;0;0.4444;0.3778;0.2667;0.3111;0.2889;0.2889;1.2222;1.4889;1.0667;1.4;1;1;14;5;1004.145;1000.52;E;E;empate
452;2014-05-28;8;atlético-mg;fluminense;2;0;0.4;0.3778;0.2889;0.4;0.3111;0.3111;1.2667;1.2444;1.0;1.1556;1;0;12;15;997.425;1004.56;M;M;atlético-mg
453;2014-05-28;8;palmeiras;botafogo-rj;0;2;0.5714;0.4;0.4286;0.3333;0.0;0.0;1.1429;1.4444;1.1429;1.1556;1;0;9;3;991.74;994.6475;M;V;botafogo-rj
